iter	MultiClass
0	1.084351123
1	0.8367502482
2	0.7018102702
3	0.6118757183
4	0.5367293478
5	0.4795187873
6	0.434252759
7	0.3957972908
8	0.3726553816
9	0.3460192874
10	0.321499711
11	0.298935009
12	0.2827654719
13	0.2654426797
14	0.248407806
15	0.2386387665
16	0.2273922999
17	0.2182200485
18	0.2083001152
19	0.198234431
20	0.1884325316
21	0.1805933475
22	0.1729250281
23	0.1656648744
24	0.1600689049
25	0.1539788472
26	0.1490515401
27	0.1432189019
28	0.139835964
29	0.1368237581
30	0.132880633
31	0.1294979058
32	0.1236782935
33	0.1193753861
34	0.1162575398
35	0.1134081576
36	0.1110022248
37	0.1078622471
38	0.1054125785
39	0.1031946042
40	0.1015133157
41	0.09869196649
42	0.09678708788
43	0.09575362668
44	0.09403649585
45	0.09277365881
46	0.08991655167
47	0.08827542102
48	0.08718358043
49	0.08372990113
50	0.08212843306
51	0.08053387314
52	0.07922524524
53	0.07850220812
54	0.07708861957
55	0.0761807012
56	0.07556186595
57	0.0742249784
58	0.07186435692
59	0.07105286282
60	0.06957601017
61	0.06926423186
62	0.06873140333
63	0.06769755219
64	0.06596696866
65	0.0647262103
66	0.06371434826
67	0.06227735315
68	0.06135119748
69	0.06021672766
70	0.05983064064
71	0.05899508658
72	0.05840323579
73	0.05758498109
74	0.05636085287
75	0.05590114216
76	0.05531187337
77	0.05467503266
78	0.05416191685
79	0.05303730076
80	0.05225999436
81	0.0513225148
82	0.05091341643
83	0.05034371809
84	0.04989863516
85	0.0496525923
86	0.04885697482
87	0.04833965932
88	0.04783702957
89	0.04740206384
90	0.04671820451
91	0.04642543811
92	0.04599048292
93	0.04561727952
94	0.04451800912
95	0.04426203348
96	0.04388855871
97	0.04344273807
98	0.04289609061
99	0.04264147447
100	0.04204088442
101	0.04189639555
102	0.04178337803
103	0.04145607878
104	0.04077202712
105	0.04038149539
106	0.03984871164
107	0.03933270558
108	0.03868226462
109	0.03824422158
110	0.03776325686
111	0.03729855079
112	0.03702833203
113	0.0368334943
114	0.03644135278
115	0.03625013247
116	0.0359600877
117	0.0356593013
118	0.03524660659
119	0.034987688
120	0.03466000936
121	0.03385405864
122	0.03349732731
123	0.03312159725
124	0.03301375425
125	0.03280041311
126	0.03259481532
127	0.03249867823
128	0.03235306963
129	0.03218368297
130	0.03183876821
131	0.03167093075
132	0.03144738811
133	0.03120716526
134	0.03103639276
135	0.03093358201
136	0.03078532291
137	0.03052679426
138	0.03033106601
139	0.03013629414
140	0.03003005303
141	0.02984623093
142	0.02968649513
143	0.02944744209
144	0.02916900311
145	0.02895641022
146	0.028782924
147	0.02859326606
148	0.02845141715
149	0.0281536949
150	0.02805498109
151	0.02795998482
152	0.02761822378
153	0.02739811676
154	0.02731638351
155	0.02705088611
156	0.02679655979
157	0.02663841798
158	0.02642352501
159	0.02635438029
160	0.02594178042
161	0.02587586055
162	0.02578808069
163	0.02553416274
164	0.02542117419
165	0.02520541705
166	0.02491046649
167	0.02479533858
168	0.02452358907
169	0.02448289369
170	0.02431365458
171	0.02401718908
172	0.02382454868
173	0.02374850371
174	0.02368548463
175	0.02361915112
176	0.02341350064
177	0.02323652872
178	0.02301814216
179	0.02291783699
180	0.02270338402
181	0.02265140955
182	0.02242391225
183	0.02223818263
184	0.02221289754
185	0.02205618768
186	0.02195522516
187	0.0217512174
188	0.0216174583
189	0.02148240952
190	0.02122655245
191	0.02106676132
192	0.02097872589
193	0.02081606691
194	0.02078787972
195	0.02051895327
196	0.02038478843
197	0.02032829943
198	0.0202360406
199	0.02019766506
200	0.02013698691
201	0.02007745879
202	0.0198722404
203	0.01978576602
204	0.01971675435
205	0.01964400538
206	0.01951882218
207	0.01937974101
208	0.0193068827
209	0.01919481234
210	0.01906836977
211	0.01901937249
212	0.01894103798
213	0.01889347266
214	0.01878173955
215	0.01868440104
216	0.01857348336
217	0.01838643244
218	0.0182904126
219	0.0182636613
220	0.01815066617
221	0.01807027924
222	0.01803709799
223	0.01796720634
224	0.0178715672
225	0.01780813843
226	0.01777513371
227	0.0176372263
228	0.01750598859
229	0.01738582711
230	0.01729449042
231	0.01709231113
232	0.01705530564
233	0.01698001683
234	0.01691206562
235	0.01684120967
236	0.01679936689
237	0.01668677486
238	0.01664677109
239	0.01660815844
240	0.01652597202
241	0.01651328468
242	0.01647894944
243	0.01640338399
244	0.01633033334
245	0.01630845358
246	0.01625518417
247	0.01613265279
248	0.01609865347
249	0.01597300262
250	0.0159126999
251	0.01584720027
252	0.01569216871
253	0.01558275675
254	0.0155011763
255	0.01542485469
