iter	Passed	Remaining
0	12	3215
1	16	2117
2	20	1716
3	23	1503
4	27	1391
5	31	1312
6	34	1232
7	38	1188
8	41	1142
9	45	1118
10	49	1095
11	53	1078
12	56	1054
13	60	1047
14	63	1028
15	67	1012
16	70	997
17	74	988
18	78	976
19	81	965
20	85	957
21	89	949
22	93	942
23	96	933
24	100	926
25	104	925
26	112	953
27	117	952
28	121	949
29	124	938
30	128	930
31	132	928
32	136	922
33	141	921
34	144	911
35	148	906
36	152	901
37	156	895
38	159	888
39	163	883
40	167	878
41	171	871
42	175	868
43	178	859
44	182	853
45	185	846
46	188	840
47	192	834
48	196	830
49	200	827
50	204	822
51	208	819
52	213	816
53	217	812
54	220	807
55	224	801
56	228	796
57	231	790
58	236	789
59	240	785
60	244	780
61	247	775
62	251	769
63	254	763
64	258	759
65	262	755
66	269	761
67	274	758
68	278	754
69	282	750
70	285	745
71	290	741
72	293	736
73	297	732
74	301	727
75	305	722
76	308	718
77	312	713
78	316	709
79	320	704
80	324	700
81	328	696
82	332	692
83	336	688
84	340	684
85	344	681
86	347	675
87	351	671
88	355	667
89	359	662
90	363	658
91	366	654
92	371	650
93	375	646
94	379	642
95	383	638
96	386	634
97	391	631
98	395	627
99	399	623
100	403	619
101	407	614
102	411	610
103	414	606
104	418	602
105	422	597
106	426	593
107	429	588
108	433	584
109	437	580
110	441	576
111	445	572
112	448	568
113	454	565
114	458	561
115	462	557
116	466	554
117	470	550
118	474	545
119	477	541
120	481	537
121	485	532
122	489	528
123	493	525
124	497	521
125	501	517
126	505	513
127	509	509
128	518	510
129	523	506
130	530	506
131	534	502
132	538	498
133	543	494
134	547	490
135	551	486
136	555	482
137	560	478
138	563	474
139	568	470
140	572	466
141	576	462
142	580	458
143	584	454
144	588	450
145	592	446
146	596	442
147	600	437
148	603	433
149	608	429
150	612	425
151	616	422
152	621	418
153	625	414
154	629	410
155	634	406
156	642	404
157	649	402
158	653	398
159	656	394
160	660	389
161	664	385
162	668	381
163	672	377
164	676	372
165	680	368
166	684	364
167	689	361
168	694	357
169	699	353
170	703	349
171	708	346
172	712	341
173	717	338
174	721	333
175	725	329
176	729	325
177	733	321
178	737	317
179	741	313
180	745	309
181	749	304
182	754	300
183	758	296
184	762	292
185	767	288
186	771	284
187	775	280
188	779	276
189	783	272
190	787	268
191	791	263
192	795	259
193	799	255
194	803	251
195	807	247
196	810	242
197	814	238
198	818	234
199	822	230
200	826	226
201	830	222
202	834	217
203	837	213
204	841	209
205	845	205
206	850	201
207	853	197
208	857	192
209	861	188
210	865	184
211	869	180
212	873	176
213	877	172
214	881	168
215	885	163
216	889	159
217	893	155
218	897	151
219	901	147
220	908	143
221	912	139
222	916	135
223	920	131
224	924	127
225	927	123
226	931	119
227	935	114
228	939	110
229	946	107
230	954	103
231	960	99
232	964	95
233	972	91
234	979	87
235	986	83
236	993	79
237	997	75
238	1001	71
239	1004	66
240	1008	62
241	1011	58
242	1015	54
243	1019	50
244	1023	45
245	1027	41
246	1030	37
247	1034	33
248	1038	29
249	1042	25
250	1045	20
251	1049	16
252	1053	12
253	1056	8
254	1060	4
255	1064	0
